system:time_start,Total hotspot area (m2) 
"Feb 6, 2026",0
"Feb 6, 2026",0
"Feb 11, 2026","3,600"
"Feb 11, 2026","3,200"
"Feb 16, 2026",800
"Feb 16, 2026",0
"Feb 16, 2026",0
"Feb 19, 2026",0
"Feb 21, 2026","1,600"
"Feb 26, 2026",0
"Feb 26, 2026",0
"Feb 27, 2026","2,700"
"Mar 3, 2026",800
"Mar 7, 2026","1,800"
"Mar 8, 2026","1,200"
"Mar 13, 2026","1,200"
"Mar 15, 2026","3,600"
"Mar 18, 2026",800
"Mar 22, 2026",0
"Mar 23, 2026","2,700"
"Mar 25, 2026",0
"Mar 28, 2026",0
"Mar 31, 2026","1,800"
"Apr 2, 2026","1,600"
"Apr 7, 2026","1,600"
"Apr 8, 2026","3,600"
"Apr 12, 2026","2,800"
"Apr 14, 2026",0
"Apr 16, 2026","1,800"
"Apr 17, 2026",400
"Apr 22, 2026",0
